DATE,USAUCSFRCONDOSMSAMID
2022-01-01,320743.9004401346
2022-02-01,326132.0425738548
2022-03-01,332467.0889867637
2022-04-01,338798.650590333
2022-05-01,344456.5490010019
2022-06-01,349185.8946133188
2022-07-01,351671.24607875803
2022-08-01,352049.56039929664
2022-09-01,350757.89650009637
2022-10-01,349515.8291566863
2022-11-01,348496.0279835267
2022-12-01,347569.80877547147
2023-01-01,346355.9756777054
2023-02-01,345468.87205380463
2023-03-01,345406.17170475965
2023-04-01,346389.4647242245
2023-05-01,348047.15901892475
2023-06-01,350022.8125159428
2023-07-01,351804.99881450745
2023-08-01,353458.79142220784
2023-09-01,354708.23927605426
2023-10-01,355643.2076025835
2023-11-01,356305.55938500585
2023-12-01,356745.1170008327
2024-01-01,357182.5334834107
2024-02-01,357984.1334682593
2024-03-01,359543.07644388214
2024-04-01,361420.15068728075
